0.0000 sec,3.000  V,2.145  V
500.0 fsec,3.000  V,2.145  V
1.000 psec,3.000  V,2.145  V
2.500 psec,3.000  V,2.145  V
7.000 psec,3.000  V,2.145  V
20.50 psec,3.000  V,2.145  V
61.00 psec,3.000  V,2.145  V
111.0 psec,3.000  V,2.145  V
161.0 psec,3.000  V,2.145  V
211.0 psec,3.000  V,2.145  V
261.0 psec,3.000  V,2.145  V
311.0 psec,3.000  V,2.145  V
361.0 psec,3.000  V,2.145  V
411.0 psec,3.000  V,2.145  V
461.0 psec,3.000  V,2.145  V
511.0 psec,3.000  V,2.145  V
561.0 psec,3.000  V,2.145  V
611.0 psec,3.000  V,2.145  V
661.0 psec,3.000  V,2.145  V
711.0 psec,3.000  V,2.145  V
761.0 psec,3.000  V,2.145  V
811.0 psec,3.000  V,2.145  V
861.0 psec,3.000  V,2.145  V
911.0 psec,3.000  V,2.145  V
961.0 psec,3.000  V,2.145  V
1.011 nsec,2.992  V,2.145  V
1.061 nsec,2.947  V,2.145  V
1.107 nsec,2.861  V,2.145  V
1.157 nsec,2.747  V,2.145  V
1.207 nsec,2.627  V,2.145  V
1.257 nsec,2.498  V,2.145  V
1.299 nsec,2.385  V,2.145  V
1.349 nsec,2.245  V,2.145  V
1.399 nsec,2.102  V,2.145  V
1.449 nsec,1.958  V,2.145  V
1.499 nsec,1.812  V,2.145  V
1.549 nsec,1.665  V,2.145  V
1.599 nsec,1.519  V,2.145  V
1.649 nsec,1.372  V,2.145  V
1.699 nsec,1.224  V,2.145  V
1.749 nsec,1.075  V,2.145  V
1.799 nsec,925.8 mV,2.145  V
1.849 nsec,776.9 mV,2.145  V
1.899 nsec,627.6 mV,2.145  V
1.949 nsec,477.2 mV,2.145  V
1.999 nsec,325.8 mV,2.145  V
2.049 nsec,232.0 mV,2.145  V
2.091 nsec,228.7 mV,2.145  V
2.134 nsec,268.6 mV,2.145  V
2.171 nsec,326.5 mV,2.145  V
2.221 nsec,427.5 mV,2.145  V
2.271 nsec,546.3 mV,2.145  V
2.321 nsec,675.9 mV,2.145  V
2.371 nsec,812.0 mV,2.145  V
2.421 nsec,952.4 mV,2.145  V
2.471 nsec,1.096  V,2.145  V
2.521 nsec,1.241  V,2.145  V
2.571 nsec,1.387  V,2.145  V
2.621 nsec,1.534  V,2.145  V
2.671 nsec,1.684  V,2.145  V
2.721 nsec,1.836  V,2.145  V
2.771 nsec,1.989  V,2.145  V
2.821 nsec,2.141  V,2.145  V
2.871 nsec,2.294  V,2.145  V
2.921 nsec,2.447  V,2.145  V
2.971 nsec,2.601  V,2.145  V
3.021 nsec,2.731  V,2.145  V
3.071 nsec,2.786  V,2.145  V
3.115 nsec,2.759  V,2.145  V
3.165 nsec,2.684  V,2.145  V
3.215 nsec,2.582  V,2.145  V
3.265 nsec,2.462  V,2.145  V
3.315 nsec,2.331  V,2.145  V
3.365 nsec,2.194  V,2.146  V
3.415 nsec,2.053  V,2.147  V
3.465 nsec,1.909  V,2.147  V
3.515 nsec,1.764  V,2.145  V
3.565 nsec,1.617  V,2.140  V
3.615 nsec,1.471  V,2.132  V
3.665 nsec,1.324  V,2.120  V
3.715 nsec,1.176  V,2.104  V
3.765 nsec,1.027  V,2.080  V
3.815 nsec,877.8 mV,2.037  V
3.865 nsec,728.9 mV,1.967  V
3.915 nsec,579.3 mV,1.849  V
3.965 nsec,428.6 mV,1.640  V
4.015 nsec,295.3 mV,1.290  V
4.065 nsec,231.3 mV,804.3 mV
4.106 nsec,243.3 mV,440.0 mV
4.156 nsec,304.1 mV,182.3 mV
4.201 nsec,386.1 mV,79.94 mV
4.247 nsec,490.2 mV,29.74 mV
4.279 nsec,568.2 mV,15.55 mV
4.306 nsec,637.6 mV,9.217 mV
4.324 nsec,685.6 mV,6.256 mV
4.350 nsec,756.3 mV,2.498 mV
4.381 nsec,841.0 mV,-684.3 uV
4.422 nsec,956.0 mV,-4.503 mV
4.465 nsec,1.081  V,-7.723 mV
4.515 nsec,1.226  V,-11.85 mV
4.565 nsec,1.371  V,-8.145 mV
4.602 nsec,1.478  V,10.15 mV
4.629 nsec,1.558  V,35.80 mV
4.673 nsec,1.691  V,100.3 mV
4.723 nsec,1.843  V,217.9 mV
4.773 nsec,1.995  V,414.9 mV
4.823 nsec,2.148  V,752.6 mV
4.873 nsec,2.301  V,1.187  V
4.923 nsec,2.454  V,1.578  V
4.973 nsec,2.607  V,1.833  V
5.023 nsec,2.735  V,1.968  V
5.073 nsec,2.785  V,2.040  V
5.118 nsec,2.756  V,2.077  V
5.168 nsec,2.679  V,2.102  V
5.218 nsec,2.576  V,2.119  V
5.268 nsec,2.455  V,2.130  V
5.318 nsec,2.324  V,2.138  V
5.368 nsec,2.187  V,2.143  V
5.418 nsec,2.045  V,2.145  V
5.468 nsec,1.901  V,2.146  V
5.518 nsec,1.756  V,2.144  V
5.568 nsec,1.610  V,2.139  V
5.618 nsec,1.463  V,2.131  V
5.668 nsec,1.316  V,2.119  V
5.718 nsec,1.169  V,2.103  V
5.768 nsec,1.021  V,2.078  V
5.818 nsec,872.8 mV,2.034  V
5.868 nsec,725.5 mV,1.962  V
5.918 nsec,577.4 mV,1.842  V
5.968 nsec,428.6 mV,1.628  V
6.018 nsec,301.8 mV,1.272  V
6.068 nsec,246.2 mV,783.3 mV
6.105 nsec,259.7 mV,449.4 mV
6.155 nsec,322.1 mV,186.2 mV
6.190 nsec,387.1 mV,98.72 mV
6.237 nsec,492.0 mV,36.14 mV
6.269 nsec,573.0 mV,18.81 mV
6.299 nsec,652.1 mV,10.26 mV
6.322 nsec,714.3 mV,6.569 mV
6.345 nsec,779.3 mV,3.470 mV
6.372 nsec,858.6 mV,13.91 uV
6.420 nsec,1.002  V,-3.857 mV
6.469 nsec,1.146  V,-8.046 mV
6.518 nsec,1.289  V,-12.03 mV
6.568 nsec,1.426  V,-7.159 mV
6.605 nsec,1.524  V,13.17 mV
6.635 nsec,1.601  V,42.91 mV
6.685 nsec,1.734  V,123.6 mV
6.735 nsec,1.873  V,257.6 mV
6.785 nsec,2.018  V,482.1 mV
6.835 nsec,2.161  V,851.8 mV
6.884 nsec,2.300  V,1.278  V
6.934 nsec,2.441  V,1.643  V
6.984 nsec,2.585  V,1.868  V
7.034 nsec,2.698  V,1.986  V
7.077 nsec,2.731  V,2.043  V
7.125 nsec,2.706  V,2.081  V
7.175 nsec,2.634  V,2.105  V
7.225 nsec,2.535  V,2.120  V
7.275 nsec,2.418  V,2.131  V
7.325 nsec,2.289  V,2.139  V
7.375 nsec,2.154  V,2.143  V
7.425 nsec,2.015  V,2.146  V
7.475 nsec,1.873  V,2.146  V
7.525 nsec,1.729  V,2.143  V
7.575 nsec,1.584  V,2.138  V
7.625 nsec,1.439  V,2.129  V
7.675 nsec,1.293  V,2.117  V
7.725 nsec,1.147  V,2.100  V
7.775 nsec,998.4 mV,2.072  V
7.825 nsec,851.1 mV,2.025  V
7.875 nsec,703.9 mV,1.947  V
7.925 nsec,555.7 mV,1.818  V
